interaction_id,lead_id,contact_name,contact_role,company_name,company_sector,company_country,company_city,company_num_employees,company_annual_revenue_eur,lead_source,lead_entry_date,initial_interest_notes,call_number,call_timestamp,days_since_entry,days_since_last_call,prev_outcome,prev_next_step,current_transcript,current_outcome,next_step,final_status
853be5cb-c55,0bf062a6,Laura Romero,CEO,Digi Dynamics,Distribución,España,Valencia,88,20511000,Feria o evento,2025-12-14,"La empresa mostró interés en optimizar su movilidad corporativa, pero sin urgencia inmediata.",1,2025-12-18,4,0,PRIMERA_LLAMADA,PRIMERA_LLAMADA,"Agente: Hola Laura, soy Marta Díaz de MoveUp. ¿Cómo estás?
Contacto: Hola Marta, bien, gracias. ¿Y tú?
Agente: Muy bien, gracias. Quería hablar sobre cómo MoveUp puede ayudar a Digi Dynamics a mejorar su movilidad corporativa. ¿Tienes algunos minutos?
Contacto: Claro, dime.
Agente: Nuestra plataforma permite gestionar viajes corporativos de manera más eficiente. ¿Cuántos viajes suelen realizar mensualmente?
Contacto: Aproximadamente unos 150 viajes al mes.
Agente: Excelente, eso es exactamente el tipo de volumen con el que trabajamos eficazmente. ¿Cuál sería tu principal preocupación a mejorar en este momento?
Contacto: Principalmente, estamos buscando optimizar costos y mejorar la gestión de los viajes.
Agente: Perfecto, podemos ofrecerte una solución personalizada que podría ayudarte con eso. ¿Te gustaría recibir más información por correo?
Contacto: Sí, por favor. Quisiéramos comparar opciones antes de tomar una decisión.
Agente: Claro, te enviaré toda la documentación necesaria. ¿Podemos agendar una demo para que veas cómo funciona nuestra plataforma en acción?
Contacto: De momento prefiero revisar la información primero. Luego podemos ver lo de la demo.
Agente: Entiendo. Entonces te enviaré los detalles y quedo a la espera de tus comentarios.
Contacto: Perfecto, muchas gracias.
Agente: A ti, Laura. Hablamos pronto.",Laura mostró interés pero quiere revisar la documentación antes de proceder con una demo.,Enviar documentación,Nurturing
a5486c4f-485,0bf062a6,Laura Romero,CEO,Digi Dynamics,Distribución,España,Valencia,88,20511000,Feria o evento,2025-12-14,"La empresa mostró interés en optimizar su movilidad corporativa, pero sin urgencia inmediata.",2,2025-12-21,7,3,Laura mostró interés pero quiere revisar la documentación antes de proceder con una demo.,Enviar documentación,"Agente: Hola Laura, soy Marta Díaz de nuevo. Espero que hayas tenido tiempo de revisar la información que te envié.
Contacto: Hola Marta. Sí, revisamos los documentos.
Agente: Genial. ¿Te parece que podría encajar con lo que estáis buscando?
Contacto: Sí, aunque todavía tenemos que discutirlo internamente y esperar la aprobación del presupuesto.
Agente: Comprendo, eso es importante. ¿Cuánto tiempo crees que tomarán esas discusiones?
Contacto: Tal vez unas dos semanas. No hay urgencia inmediata, pero estamos interesados.
Agente: Entiendo, entonces lo mejor será que recontacte contigo después de ese tiempo. ¿Te parece bien?
Contacto: Sí, eso suena bien. Así podremos darte una respuesta más clara.
Agente: Perfecto, entonces estaré en contacto en unas semanas para ver cómo van las cosas. Gracias por tu tiempo, Laura.
Contacto: Gracias a ti, Marta. Hablamos pronto.",Laura y su equipo necesitan más tiempo para discutir y obtener la aprobación del presupuesto.,Cerrar lead - nurturing,Nurturing
02195fe0-824,30e98883,Rafael Ruiz,Head of Procurement,Corp Consulting,Distribución,España,Bilbao,118,18818000,Inbound / Blog,2025-12-19,"Rafael mostró interés inicial en optimizar los gastos de transporte corporativo, habiendo leído sobre eficiencias de costes en nuestro blog.",1,2025-12-20,1,0,PRIMERA_LLAMADA,PRIMERA_LLAMADA,"Agente: Hola, Rafael. Soy Ana Ruiz de MoveUp. ¿Cómo estás?
Contacto: Hola, Ana. Estoy bien, gracias. ¿En qué puedo ayudarte?
Agente: Quería hablar sobre cómo MoveUp puede ayudar a optimizar vuestros gastos de movilidad corporativa. Vi que habías mostrado interés en nuestro blog.
Contacto: Sí, lo leí. Pero actualmente ya trabajamos con un proveedor y, sinceramente, no estamos buscando cambiar.
Agente: Entiendo, pero nuestra plataforma puede ofrecerte una gestión más eficiente y con costes potencialmente menores. ¿Cuál es vuestro volumen de viajes actuales?
Contacto: No tengo la cifra exacta ahora mismo, pero no estamos insatisfechos con el servicio actual.
Agente: Claro, a veces un cambio puede resultar beneficioso. ¿Hay alguna preocupación específica que te impida considerar una nueva opción?
Contacto: Principalmente el presupuesto. Este año no tenemos espacio para cambios importantes y hay una reorganización interna en marcha.
Agente: Comprendo. Quizás podríamos agendar una reunión con nuestro especialista, Tomás Iglesias, para explorar si alguna de nuestras soluciones se ajusta a vuestras restricciones presupuestarias.
Contacto: Aprecio la oferta, pero sinceramente dudo que sea viable ahora mismo.
Agente: Está bien, Rafael. Si en el futuro decides explorar esta posibilidad, estaré aquí para ayudarte. Muchas gracias por tu tiempo.
Contacto: Gracias, Ana. Que tengas un buen día.",Rafael expresó que actualmente no buscan cambiar de proveedor debido a limitaciones presupuestarias y una reorganización interna.,Cerrar lead - no interesado,Lost
c62d13b7-7b8,3b028bab,María Moreno,Director de Compras,Grupo Group,Consultoría IT,España,Palma,7983,506623000,Inbound / Blog,2026-03-15,María mostró un fuerte interés en optimizar los costes de movilidad debido al alto volumen de desplazamientos de sus empleados.,1,2026-03-21,6,0,PRIMERA_LLAMADA,PRIMERA_LLAMADA,"Agente: Hola María, soy Pablo Fernández de MoveUp. ¿Cómo estás hoy?
Contacto: Hola Pablo, muy bien, gracias. Estuve revisando su blog y creo que su solución podría ser justo lo que necesitamos.
Agente: Me alegra escuchar eso. Entiendo que en Grupo Group están experimentando un crecimiento significativo y un alto volumen de desplazamientos, ¿correcto?
Contacto: Exactamente, y eso ha incrementado nuestros costes de movilidad. Necesitamos una solución eficiente y rápida.
Agente: Definitivamente podemos ayudar con eso. ¿Hay alguna preocupación específica que tengan sobre la implementación de nuestra plataforma?
Contacto: Nuestra principal preocupación es la adaptación rápida del personal y asegurar que el coste se mantenga bajo control.
Agente: Claro, nuestra solución es fácil de usar y hemos tenido éxito en la incorporación rápida. Además, podemos trabajar con ustedes para establecer un presupuesto controlado.
Contacto: Eso suena bien. ¿Podríamos ver una demostración para entender mejor cómo funcionaría en nuestra empresa?
Agente: Por supuesto, puedo agendar una reunión con nuestro especialista, Roberto Sánchez, para una demo detallada.
Contacto: Perfecto, ¿qué tal el próximo jueves?
Agente: El próximo jueves funciona bien. Agendaré la demo con Roberto y les enviaré la confirmación.
Contacto: Genial, quedo a la espera de la confirmación. Gracias, Pablo.
Agente: No hay de qué, María. Hablamos pronto.",La llamada fue positiva y María mostró interés en agendar una demostración para evaluar la solución de MoveUp.,Agendar demo/reunión con especialista,Converted
d104176c-8b5,e3594cfc,Sofía Jiménez,Gerente de Administración,Pro Partners,Servicios Financieros,España,Valladolid,528,116075000,Formulario web,2025-11-01,La empresa mostró un alto interés debido a su crecimiento y la necesidad urgente de gestionar mejor sus costes de movilidad.,1,2025-11-03,2,0,PRIMERA_LLAMADA,PRIMERA_LLAMADA,"Agente: Hola Sofía, soy Ana Ruiz de MoveUp. Gracias por contactarnos a través de nuestro formulario web. ¿Podrías contarme un poco más sobre tus necesidades actuales de movilidad corporativa?
Contacto: Hola Ana, claro. En Pro Partners estamos creciendo rápidamente y nuestros empleados realizan numerosos desplazamientos a diario. Queremos reducir los costes y mejorar la eficiencia.
Agente: Entiendo perfectamente. Nuestra plataforma está diseñada para ofrecer soluciones personalizadas que pueden ayudar a reducir significativamente los gastos de movilidad.
Contacto: Eso suena interesante. Actualmente estamos gastando mucho y necesitamos una solución eficaz lo antes posible.
Agente: Perfecto, puedo coordinar una reunión con nuestro especialista en movilidad, Roberto Sánchez, para explorar cómo podemos ayudarte.
Contacto: Me parece bien. ¿Cuándo podría ser?
Agente: ¿Qué tal si lo agendamos para esta misma semana?
Contacto: Sí, esta semana estaría bien.
Agente: Genial, coordinaré los detalles y te enviaré una invitación.
Contacto: Perfecto, espero la invitación. Gracias, Ana.",Sofía expresó una alta necesidad de soluciones de movilidad y se acordó agendar una reunión con el especialista.,Agendar demo/reunión con especialista,Converted
cc67d08c-b7d,e3594cfc,Sofía Jiménez,Gerente de Administración,Pro Partners,Servicios Financieros,España,Valladolid,528,116075000,Formulario web,2025-11-01,La empresa mostró un alto interés debido a su crecimiento y la necesidad urgente de gestionar mejor sus costes de movilidad.,2,2025-11-06,5,3,Sofía expresó una alta necesidad de soluciones de movilidad y se acordó agendar una reunión con el especialista.,Agendar demo/reunión con especialista,"Agente: Hola Sofía, soy Ana de nuevo. ¿Cómo estás?
Contacto: Hola Ana, estoy bien, gracias. Ayer revisé la propuesta enviada por correo.
Agente: Excelente. ¿Tienes alguna pregunta o inquietud sobre los detalles?
Contacto: Me gustaría saber más sobre cómo podríamos optimizar el presupuesto actual.
Agente: Claro, Roberto puede explicar en detalle cómo adaptamos nuestras tarifas a tu uso específico. Además, él puede sugerir estrategias para maximizar tu presupuesto.
Contacto: Eso sería muy útil. Nos urge encontrar una solución pronto.
Agente: Perfecto, entonces ¿cuándo podrías tener una sesión con Roberto?
Contacto: Podría ser el viernes a primera hora.
Agente: Excelente, agendaré la reunión y confirmaré contigo.
Contacto: Perfecto, gracias, Ana.",Se confirmó una reunión con el especialista para atender dudas específicas sobre optimización del presupuesto.,Escalar a manager del lead,Converted
6bd704c2-c87,e3594cfc,Sofía Jiménez,Gerente de Administración,Pro Partners,Servicios Financieros,España,Valladolid,528,116075000,Formulario web,2025-11-01,La empresa mostró un alto interés debido a su crecimiento y la necesidad urgente de gestionar mejor sus costes de movilidad.,3,2025-11-08,7,2,Se confirmó una reunión con el especialista para atender dudas específicas sobre optimización del presupuesto.,Escalar a manager del lead,"Agente: Hola Sofía, soy Ana. Quería saber cómo resultó la reunión con Roberto.
Contacto: Hola Ana, la reunión fue excelente. Roberto explicó muy bien cómo podemos reducir costes y ya queremos proceder con el contrato.
Agente: ¡Genial! Me alegra mucho escuchar eso. ¿Te gustaría que preparemos la documentación de inmediato?
Contacto: Sí, por favor. Queremos implementar esto cuanto antes.
Agente: Perfecto, procederé con la preparación del contrato y te lo enviaré para su revisión final.
Contacto: Muchas gracias, Ana. Esperamos poder comenzar pronto.
Agente: Gracias a ti, Sofía. Estaremos en contacto para cerrar todo.
Contacto: Muy bien, hablamos pronto.",Sofía confirmó que desean proceder con el contrato y se decidió enviar la documentación para cerrar el acuerdo.,Esperar confirmación cliente,Converted
bf509217-b6d,a0f97b65,María Navarro,Jefe de Proyectos,Euro Services,Educación,España,Palma,23,5505000,Inbound / Blog,2025-12-02,La empresa está interesada en optimizar sus costes de movilidad debido al alto volumen de desplazamientos.,1,2025-12-04,2,0,PRIMERA_LLAMADA,PRIMERA_LLAMADA,"Agente: Hola, María. Soy Diego López de MoveUp. ¿Cómo estás?
Contacto: Hola, Diego. Estoy bien, gracias. Estoy muy interesada en charlar sobre cómo podemos mejorar nuestros costes de movilidad.
Agente: Perfecto. Veo que Euro Services tiene un volumen alto de desplazamientos. ¿Nos puedes contar más sobre eso?
Contacto: Claro, tenemos un equipo de 23 empleados que se desplaza frecuentemente, y estamos buscando optimizar esos costes.
Agente: Entiendo. Nuestro servicio está diseñado precisamente para eso. ¿Hay algún aspecto específico en el que necesitas apoyo urgente?
Contacto: Principalmente en la transparencia de tarifas y la rapidez en la disponibilidad de los conductores.
Agente: Podemos ofrecer tarifas fijas y un servicio de prioridad en la asignación de conductores corporativos. ¿Te gustaría una demostración de cómo funciona?
Contacto: Sí, definitivamente. Necesitamos implementar una solución pronto.
Agente: Excelente, voy a coordinar para que Roberto Sánchez, nuestro especialista, te muestre cómo funciona todo.
Contacto: Perfecto, Diego. Quedo pendiente de la reunión.
Agente: Gracias, María. Coordinaré para que sea lo antes posible. ¿Te parece bien la próxima semana?
Contacto: Sí, cuanto antes mejor. Así podemos tomar una decisión rápidamente.
Agente: De acuerdo, te enviaré la invitación para la demo. Muchas gracias por tu tiempo, María.
Contacto: Gracias a ti, Diego. Hasta pronto.",Se acordó agendar una demo para mostrar cómo MoveUp puede ayudarles a optimizar costes de movilidad.,Agendar demo/reunión con especialista,Converted
3da7facf-bfc,c94b6592,Patricia Ruiz,Gerente de Administración,Corp Systems,Química,Argentina,Buenos Aires,39,10802000,Feria o evento,2025-11-18,Patricia mostró un interés inmediato en MoveUp debido al crecimiento de la empresa y la necesidad de gestionar mejor los costes de movilidad.,1,2025-11-23,5,0,PRIMERA_LLAMADA,PRIMERA_LLAMADA,"Agente: Hola Patricia, ¿cómo estás? Soy Laura Gómez de MoveUp. Nos conocimos en la feria la semana pasada.
Contacto: Hola Laura, muy bien, gracias. Sí, te recuerdo. Estábamos muy interesados en vuestro servicio.
Agente: Genial, quería saber más sobre vuestras necesidades de movilidad. ¿Cuántos desplazamientos realizan al mes?
Contacto: Últimamente, hemos tenido un alto volumen, alrededor de 150-200 desplazamientos mensuales.
Agente: Entiendo. ¿Tenéis algún problema específico que queráis resolver con nuestro servicio?
Contacto: Sí, estamos buscando reducir los costes y mejorar el control de los gastos de movilidad.
Agente: Perfecto, MoveUp puede ayudar con eso. ¿Cuál es vuestro presupuesto aproximado para estos servicios?
Contacto: Nos gustaría mantenernos dentro de un rango adecuado, pero estamos abiertos a propuestas que optimicen nuestro gasto.
Agente: Excelente, podemos trabajar en eso. ¿Te parece bien si te envío documentación detallada sobre nuestras tarifas y servicios?
Contacto: Sí, por favor, eso me vendría muy bien.
Agente: Perfecto, te la envío enseguida.
Contacto: Muchas gracias, estaré atenta.
Agente: Gracias a ti, Patricia. Un placer hablar contigo.",Laura introdujo a Patricia en los servicios de MoveUp y acordaron enviar documentación detallada sobre tarifas y servicios.,Enviar documentación,Converted
cc698953-513,c94b6592,Patricia Ruiz,Gerente de Administración,Corp Systems,Química,Argentina,Buenos Aires,39,10802000,Feria o evento,2025-11-18,Patricia mostró un interés inmediato en MoveUp debido al crecimiento de la empresa y la necesidad de gestionar mejor los costes de movilidad.,2,2025-11-28,10,5,Laura introdujo a Patricia en los servicios de MoveUp y acordaron enviar documentación detallada sobre tarifas y servicios.,Enviar documentación,"Agente: Hola Patricia, ¿cómo estás? Soy Laura de nuevo, ¿recibiste la documentación que te envié?
Contacto: Hola Laura, sí la revisé. Me parece muy interesante y creo que podría ajustarse a lo que buscamos.
Agente: Me alegra escuchar eso. ¿Te gustaría que organizáramos una demo para mostrarte nuestro sistema en acción?
Contacto: Sí, lo agradecería mucho. Estoy interesada en ver cómo podríamos aplicarlo en Corp Systems.
Agente: ¿Te parece bien si organizamos una demo con nuestro especialista, Roberto Sánchez? Él podrá resolver cualquier duda técnica que tengas.
Contacto: Claro, la próxima semana el miércoles me vendría bien.
Agente: Perfecto, agendaré la reunión para el miércoles. Te enviaré una invitación con los detalles.
Contacto: Muchas gracias, Laura. Espero la reunión con interés.
Agente: De nada, Patricia. Nos vemos pronto.",Patricia revisó la documentación y mostró interés en una demo. Se agendó una reunión con el especialista.,Agendar demo/reunión con especialista,Converted
